HomeTeam,AwayTeam,HomeGoals,AwayGoals
Aston Villa,West Ham,3,0
Blackburn,Everton,1,0
Bolton,Fulham,0,0
Chelsea,West Brom,6,0
Sunderland,Birmingham,2,2
Tottenham,Man City,0,0
Wigan,Blackpool,0,4
Wolves,Stoke,2,1
Liverpool,Arsenal,1,1
Man United,Newcastle,3,0
Arsenal,Blackpool,6,0
Birmingham,Blackburn,2,1
Everton,Wolves,1,1
Stoke,Tottenham,1,2
West Brom,Sunderland,1,0
West Ham,Bolton,1,3
Wigan,Chelsea,0,6
Fulham,Man United,2,2
Newcastle,Aston Villa,6,0
Man City,Liverpool,3,0
Blackburn,Arsenal,1,2
Blackpool,Fulham,2,2
Chelsea,Stoke,2,0
Man United,West Ham,3,0
Tottenham,Wigan,0,1
Wolves,Newcastle,1,1
Aston Villa,Everton,1,0
Bolton,Birmingham,2,2
Liverpool,West Brom,1,0
Sunderland,Man City,1,0
Arsenal,Bolton,4,1
Everton,Man United,3,3
Fulham,Wolves,2,1
Man City,Blackburn,1,1
Newcastle,Blackpool,0,2
West Brom,Tottenham,1,1
West Ham,Chelsea,1,3
Wigan,Sunderland,1,1
Birmingham,Liverpool,0,0
Stoke,Aston Villa,2,1
Aston Villa,Bolton,1,1
Blackburn,Fulham,1,1
Everton,Newcastle,0,1
Stoke,West Ham,1,1
Sunderland,Arsenal,1,1
Tottenham,Wolves,3,1
West Brom,Birmingham,3,1
Chelsea,Blackpool,4,0
Man United,Liverpool,3,2
Wigan,Man City,0,2
Arsenal,West Brom,2,3
Birmingham,Wigan,0,0
Blackpool,Blackburn,1,2
Fulham,Everton,0,0
Liverpool,Sunderland,2,2
Man City,Chelsea,1,0
West Ham,Tottenham,1,0
Bolton,Man United,2,2
Newcastle,Stoke,1,2
Wolves,Aston Villa,1,2
Birmingham,Everton,0,2
Stoke,Blackburn,1,0
Sunderland,Man United,0,0
Tottenham,Aston Villa,2,1
West Brom,Bolton,1,1
West Ham,Fulham,1,1
Wigan,Wolves,2,0
Chelsea,Arsenal,2,0
Liverpool,Blackpool,1,2
Man City,Newcastle,2,1
Arsenal,Birmingham,2,1
Aston Villa,Chelsea,0,0
Bolton,Stoke,2,1
Fulham,Tottenham,1,2
Man United,West Brom,2,2
Newcastle,Wigan,2,2
Wolves,West Ham,1,1
Blackpool,Man City,2,3
Everton,Liverpool,2,0
Blackburn,Sunderland,0,0
Birmingham,Blackpool,2,0
Chelsea,Wolves,2,0
Sunderland,Aston Villa,1,0
Tottenham,Everton,1,1
West Brom,Fulham,2,1
West Ham,Newcastle,1,2
Wigan,Bolton,1,1
Liverpool,Blackburn,2,1
Man City,Arsenal,0,3
Stoke,Man United,1,2
Arsenal,West Ham,1,0
Blackburn,Chelsea,1,2
Everton,Stoke,1,0
Fulham,Wigan,2,0
Man United,Tottenham,2,0
Wolves,Man City,2,1
Aston Villa,Birmingham,0,0
Bolton,Liverpool,0,1
Newcastle,Sunderland,5,1
Blackpool,West Brom,2,1
Birmingham,West Ham,2,2
Blackburn,Wigan,2,1
Blackpool,Everton,2,2
Bolton,Tottenham,4,2
Fulham,Aston Villa,1,1
Man United,Wolves,2,1
Sunderland,Stoke,2,0
Arsenal,Newcastle,0,1
Liverpool,Chelsea,2,0
West Brom,Man City,0,2
Stoke,Birmingham,3,2
Tottenham,Sunderland,1,1
Aston Villa,Blackpool,3,2
Chelsea,Fulham,1,0
Everton,Bolton,1,1
Man City,Man United,0,0
Newcastle,Blackburn,1,2
West Ham,West Brom,2,2
Wigan,Liverpool,1,1
Wolves,Arsenal,0,2
Aston Villa,Man United,2,2
Man City,Birmingham,0,0
Newcastle,Fulham,0,0
Stoke,Liverpool,2,0
Tottenham,Blackburn,4,2
West Ham,Blackpool,0,0
Wigan,West Brom,1,0
Wolves,Bolton,2,3
Chelsea,Sunderland,0,3
Everton,Arsenal,1,2
Arsenal,Tottenham,2,3
Birmingham,Chelsea,1,0
Blackpool,Wolves,2,1
Bolton,Newcastle,5,1
Liverpool,West Ham,3,0
Man United,Wigan,2,0
West Brom,Stoke,0,3
Blackburn,Aston Villa,2,0
Fulham,Man City,1,4
Sunderland,Everton,2,2
Aston Villa,Arsenal,2,4
Bolton,Blackpool,2,2
Everton,West Brom,1,4
Fulham,Birmingham,1,1
Man United,Blackburn,7,1
Stoke,Man City,1,1
West Ham,Wigan,3,1
Wolves,Sunderland,3,2
Newcastle,Chelsea,1,1
Tottenham,Liverpool,2,1
Arsenal,Fulham,2,1
Birmingham,Tottenham,1,1
Blackburn,Wolves,3,0
Chelsea,Everton,1,1
Man City,Bolton,1,0
Wigan,Stoke,2,2
Sunderland,West Ham,1,0
West Brom,Newcastle,3,1
Liverpool,Aston Villa,3,0
Aston Villa,West Brom,2,1
Everton,Wigan,0,0
Fulham,Sunderland,0,0
Newcastle,Liverpool,3,1
Stoke,Blackpool,0,1
West Ham,Man City,1,3
Bolton,Blackburn,2,1
Tottenham,Chelsea,1,1
Wolves,Birmingham,1,0
Man United,Arsenal,1,0
Blackburn,West Ham,1,1
Sunderland,Bolton,1,0
Man City,Everton,1,2
Aston Villa,Tottenham,1,2
Blackburn,Stoke,0,2
Bolton,West Brom,2,0
Fulham,West Ham,1,3
Man United,Sunderland,2,0
Newcastle,Man City,1,3
Wolves,Wigan,1,2
Arsenal,Chelsea,3,1
Birmingham,Man United,1,1
Man City,Aston Villa,4,0
Stoke,Fulham,0,2
Sunderland,Blackpool,0,2
Tottenham,Newcastle,2,0
West Brom,Blackburn,1,3
West Ham,Everton,1,1
Chelsea,Bolton,1,0
Liverpool,Wolves,0,1
Wigan,Arsenal,2,2
Birmingham,Arsenal,0,3
Liverpool,Bolton,2,1
Man City,Blackpool,1,0
Stoke,Everton,2,0
Sunderland,Blackburn,3,0
Tottenham,Fulham,1,0
West Brom,Man United,1,2
West Ham,Wolves,2,0
Chelsea,Aston Villa,3,3
Wigan,Newcastle,0,1
Blackpool,Birmingham,1,2
Fulham,West Brom,3,0
Man United,Stoke,2,1
Arsenal,Man City,0,0
Aston Villa,Sunderland,0,1
Blackburn,Liverpool,3,1
Bolton,Wigan,1,1
Everton,Tottenham,2,1
Newcastle,West Ham,5,0
Wolves,Chelsea,1,0
Blackpool,Liverpool,2,1
Chelsea,Blackburn,2,0
Man City,Wolves,4,3
Stoke,Bolton,2,0
West Brom,Blackpool,3,2
West Ham,Arsenal,0,3
Wigan,Fulham,1,1
Birmingham,Aston Villa,1,1
Liverpool,Everton,2,2
Sunderland,Newcastle,1,1
Tottenham,Man United,0,0
Arsenal,Wigan,3,0
Aston Villa,Man City,1,0
Blackpool,Sunderland,1,2
Everton,West Ham,2,2
Fulham,Stoke,2,0
Man United,Birmingham,5,0
Newcastle,Tottenham,1,1
Wolves,Liverpool,0,3
Blackburn,West Brom,2,0
Bolton,Chelsea,0,4
Blackpool,Man United,2,3
Wigan,Aston Villa,1,2
Liverpool,Fulham,1,0
Arsenal,Everton,2,1
Man United,Aston Villa,3,1
Sunderland,Chelsea,2,4
West Brom,Wigan,2,2
Birmingham,Man City,2,2
Blackburn,Tottenham,0,1
Blackpool,West Ham,1,3
Bolton,Wolves,1,0
Fulham,Newcastle,1,0
Liverpool,Stoke,2,0
Aston Villa,Fulham,2,2
Everton,Blackpool,5,3
Man City,West Brom,3,0
Newcastle,Arsenal,4,4
Stoke,Sunderland,3,2
Tottenham,Bolton,2,1
Wigan,Blackburn,4,3
Wolves,Man United,2,1
Chelsea,Liverpool,0,1
West Ham,Birmingham,0,1
Arsenal,Wolves,2,0
Birmingham,Stoke,1,0
Blackburn,Newcastle,0,0
Blackpool,Aston Villa,1,1
Liverpool,Wigan,1,1
Man United,Man City,2,1
Sunderland,Tottenham,1,2
West Brom,West Ham,3,3
Bolton,Everton,2,0
Fulham,Chelsea,0,0
Birmingham,Newcastle,0,2
West Brom,Wolves,1,1
Blackpool,Tottenham,3,1
Arsenal,Stoke,1,0
Aston Villa,Blackburn,4,1
Everton,Sunderland,2,0
Newcastle,Bolton,1,1
Wigan,Man United,0,4
Wolves,Blackpool,4,0
Man City,Fulham,1,1
West Ham,Liverpool,3,1
Stoke,West Brom,1,1
Chelsea,Man United,2,1
Arsenal,Sunderland,0,0
Birmingham,West Brom,1,3
Bolton,Aston Villa,3,2
Fulham,Blackburn,3,2
Man City,Wigan,1,0
Newcastle,Everton,1,2
West Ham,Stoke,3,0
Liverpool,Man United,3,1
Wolves,Tottenham,3,3
Blackpool,Chelsea,1,3
Everton,Birmingham,1,1
Aston Villa,Wolves,0,1
Blackburn,Blackpool,2,2
Everton,Fulham,2,1
Man United,Bolton,1,0
Stoke,Newcastle,4,0
Tottenham,West Ham,0,0
West Brom,Arsenal,2,2
Wigan,Birmingham,2,1
Chelsea,Man City,2,0
Sunderland,Liverpool,0,2
Arsenal,Blackburn,0,0
Birmingham,Bolton,2,1
Everton,Aston Villa,2,2
Newcastle,Wolves,4,1
Stoke,Chelsea,1,1
West Brom,Liverpool,2,1
West Ham,Man United,2,4
Wigan,Tottenham,0,0
Fulham,Blackpool,3,0
Man City,Sunderland,5,0
Blackburn,Birmingham,1,1
Bolton,West Ham,3,0
Chelsea,Wigan,1,0
Man United,Fulham,2,0
Sunderland,West Brom,2,3
Tottenham,Stoke,3,2
Wolves,Everton,0,3
Aston Villa,Newcastle,1,0
Blackpool,Arsenal,1,3
Liverpool,Man City,3,0
Birmingham,Sunderland,2,0
Blackpool,Wigan,1,3
Everton,Blackburn,2,0
West Brom,Chelsea,1,3
West Ham,Aston Villa,1,2
Arsenal,Liverpool,1,1
Newcastle,Man United,0,0
Chelsea,Birmingham,3,1
Tottenham,Arsenal,3,3
Aston Villa,Stoke,1,1
Blackpool,Newcastle,1,1
Chelsea,West Ham,3,0
Liverpool,Birmingham,5,0
Man United,Everton,1,0
Sunderland,Wigan,4,2
Tottenham,West Brom,2,2
Wolves,Fulham,1,1
Bolton,Arsenal,2,1
Blackburn,Man City,0,1
Stoke,Wolves,3,0
Fulham,Bolton,3,0
Blackburn,Bolton,1,0
Blackpool,Stoke,0,0
Chelsea,Tottenham,2,1
Sunderland,Fulham,0,3
West Brom,Aston Villa,2,1
Wigan,Everton,1,1
Arsenal,Man United,1,0
Birmingham,Wolves,1,1
Liverpool,Newcastle,3,0
Man City,West Ham,2,1
Aston Villa,Wigan,1,1
Bolton,Sunderland,1,2
Everton,Man City,2,1
Newcastle,Birmingham,2,1
Tottenham,Blackpool,1,1
West Ham,Blackburn,1,1
Man United,Chelsea,2,1
Stoke,Arsenal,3,1
Wolves,West Brom,3,1
Fulham,Liverpool,2,5
Man City,Tottenham,1,0
Blackburn,Man United,1,1
Blackpool,Bolton,4,3
Sunderland,Wolves,1,3
West Brom,Everton,1,0
Arsenal,Aston Villa,1,2
Birmingham,Fulham,0,2
Chelsea,Newcastle,2,2
Liverpool,Tottenham,0,2
Wigan,West Ham,3,2
Man City,Stoke,3,0
Aston Villa,Liverpool,1,0
Bolton,Man City,0,2
Everton,Chelsea,1,0
Fulham,Arsenal,2,2
Man United,Blackpool,4,2
Newcastle,West Brom,3,3
Stoke,Wigan,0,1
Tottenham,Birmingham,2,1
West Ham,Sunderland,0,3
Wolves,Blackburn,2,3
Blackburn,Wolves,1,2
Fulham,Aston Villa,0,0
Liverpool,Sunderland,1,1
Newcastle,Arsenal,0,0
QPR,Bolton,0,4
Wigan,Norwich,1,1
Stoke,Chelsea,0,0
West Brom,Man United,1,2
Man City,Swansea,4,0
Arsenal,Liverpool,0,2
Aston Villa,Blackburn,3,1
Chelsea,West Brom,2,1
Everton,QPR,0,1
Sunderland,Newcastle,0,1
Swansea,Wigan,0,0
Bolton,Man City,2,3
Norwich,Stoke,1,1
Wolves,Fulham,2,0
Man United,Tottenham,3,0
Aston Villa,Wolves,0,0
Blackburn,Everton,0,1
Chelsea,Norwich,3,1
Liverpool,Bolton,3,1
Swansea,Sunderland,0,0
Wigan,QPR,2,0
Man United,Arsenal,8,2
Newcastle,Fulham,2,1
Tottenham,Man City,1,5
West Brom,Stoke,0,1
Arsenal,Swansea,1,0
Bolton,Man United,0,5
Everton,Aston Villa,2,2
Man City,Wigan,3,0
Stoke,Liverpool,1,0
Sunderland,Chelsea,1,2
Wolves,Tottenham,0,2
Fulham,Blackburn,1,1
Norwich,West Brom,0,1
QPR,Newcastle,0,0
Aston Villa,Newcastle,1,1
Blackburn,Arsenal,4,3
Bolton,Norwich,1,2
Everton,Wigan,3,1
Swansea,West Brom,3,0
Wolves,QPR,0,3
Fulham,Man City,2,2
Man United,Chelsea,3,1
Sunderland,Stoke,4,0
Tottenham,Liverpool,4,0
Arsenal,Bolton,3,0
Chelsea,Swansea,4,1
Liverpool,Wolves,2,1
Man City,Everton,2,0
Newcastle,Blackburn,3,1
Stoke,Man United,1,1
West Brom,Fulham,0,0
Wigan,Tottenham,1,2
QPR,Aston Villa,1,1
Norwich,Sunderland,2,1
Aston Villa,Wigan,2,0
Blackburn,Man City,0,4
Everton,Liverpool,0,2
Man United,Norwich,2,0
Sunderland,West Brom,2,2
Wolves,Newcastle,1,2
Bolton,Chelsea,1,5
Fulham,QPR,6,0
Swansea,Stoke,2,0
Tottenham,Arsenal,2,1
Chelsea,Everton,3,1
Liverpool,Man United,1,1
Man City,Aston Villa,4,1
Norwich,Swansea,3,1
QPR,Blackburn,1,1
Stoke,Fulham,2,0
Wigan,Bolton,1,3
Arsenal,Sunderland,2,1
Newcastle,Tottenham,2,2
West Brom,Wolves,2,0
Aston Villa,West Brom,1,2
Bolton,Sunderland,0,2
Liverpool,Norwich,1,1
Newcastle,Wigan,1,0
Wolves,Swansea,2,2
Arsenal,Stoke,3,1
Blackburn,Tottenham,1,2
Fulham,Everton,1,3
Man United,Man City,1,6
QPR,Chelsea,1,0
Chelsea,Arsenal,3,5
Everton,Man United,0,1
Man City,Wolves,3,1
Norwich,Blackburn,3,3
Sunderland,Aston Villa,2,2
Swansea,Bolton,3,1
West Brom,Liverpool,0,2
Wigan,Fulham,0,2
Tottenham,QPR,3,1
Stoke,Newcastle,1,3
Arsenal,West Brom,3,0
Aston Villa,Norwich,3,2
Blackburn,Chelsea,0,1
Liverpool,Swansea,0,0
Man United,Sunderland,1,0
Newcastle,Everton,2,1
QPR,Man City,2,3
Bolton,Stoke,5,0
Fulham,Tottenham,1,3
Wolves,Wigan,3,1
Everton,Wolves,2,1
Man City,Newcastle,3,1
Norwich,Arsenal,1,2
Stoke,QPR,2,3
Sunderland,Fulham,0,0
Swansea,Man United,0,1
West Brom,Bolton,2,1
Wigan,Blackburn,3,3
Chelsea,Liverpool,1,2
Tottenham,Aston Villa,2,0
Arsenal,Fulham,1,1
Bolton,Everton,0,2
Chelsea,Wolves,3,0
Man United,Newcastle,1,1
Norwich,QPR,2,1
Stoke,Blackburn,3,1
Sunderland,Wigan,1,2
West Brom,Tottenham,1,3
Liverpool,Man City,1,1
Swansea,Aston Villa,0,0
Aston Villa,Man United,0,1
Blackburn,Swansea,4,2
Man City,Norwich,5,1
Newcastle,Chelsea,0,3
QPR,West Brom,1,1
Tottenham,Bolton,3,0
Wigan,Arsenal,0,4
Everton,Stoke,0,1
Wolves,Sunderland,2,1
Fulham,Liverpool,1,0
Arsenal,Everton,1,0
Bolton,Aston Villa,1,2
Liverpool,QPR,1,0
Man United,Wolves,4,1
Norwich,Newcastle,4,2
Swansea,Fulham,2,0
West Brom,Wigan,1,2
Stoke,Tottenham,2,1
Sunderland,Blackburn,2,1
Chelsea,Man City,2,1
Blackburn,West Brom,1,2
Everton,Norwich,1,1
Fulham,Bolton,2,0
Newcastle,Swansea,0,0
Wigan,Chelsea,1,1
Wolves,Stoke,1,2
Aston Villa,Liverpool,0,2
Man City,Arsenal,1,0
QPR,Man United,0,2
Tottenham,Sunderland,1,0
Blackburn,Bolton,1,2
Wolves,Norwich,2,2
Aston Villa,Arsenal,1,2
Everton,Swansea,1,0
Fulham,Man United,0,5
Man City,Stoke,3,0
Newcastle,West Brom,2,3
QPR,Sunderland,2,3
Wigan,Liverpool,0,0
Tottenham,Chelsea,1,1
Bolton,Newcastle,0,2
Chelsea,Fulham,1,1
Liverpool,Blackburn,1,1
Man United,Wigan,5,0
Stoke,Aston Villa,0,0
Sunderland,Everton,1,1
West Brom,Man City,0,0
Arsenal,Wolves,1,1
Norwich,Tottenham,0,2
Swansea,QPR,1,1
Liverpool,Newcastle,3,1
Arsenal,QPR,1,0
Bolton,Wolves,1,1
Chelsea,Aston Villa,1,3
Man United,Blackburn,2,3
Norwich,Fulham,1,1
Stoke,Wigan,2,2
Swansea,Tottenham,1,1
Sunderland,Man City,1,0
West Brom,Everton,0,1
Aston Villa,Swansea,0,2
Blackburn,Stoke,1,2
Fulham,Arsenal,2,1
QPR,Norwich,1,2
Wolves,Chelsea,1,2
Man City,Liverpool,3,0
Tottenham,West Brom,1,0
Wigan,Sunderland,1,4
Everton,Bolton,1,2
Newcastle,Man United,3,0
Tottenham,Everton,2,0
Aston Villa,Everton,1,1
Blackburn,Fulham,3,1
Chelsea,Sunderland,1,0
Liverpool,Stoke,0,0
Man United,Bolton,3,0
Tottenham,Wolves,1,1
West Brom,Norwich,1,2
Newcastle,QPR,1,0
Swansea,Arsenal,3,2
Wigan,Man City,0,1
Bolton,Liverpool,3,1
Everton,Blackburn,1,1
Fulham,Newcastle,5,2
Norwich,Chelsea,0,0
QPR,Wigan,3,1
Stoke,West Brom,1,2
Sunderland,Swansea,2,0
Wolves,Aston Villa,2,3
Arsenal,Man United,1,2
Man City,Tottenham,3,2
Everton,Man City,1,0
Man United,Stoke,2,0
Swansea,Chelsea,1,1
Tottenham,Wigan,3,1
Wolves,Liverpool,0,3
Aston Villa,QPR,2,2
Blackburn,Newcastle,0,2
Bolton,Arsenal,0,0
Fulham,West Brom,1,1
Sunderland,Norwich,3,0
Arsenal,Blackburn,7,1
Man City,Fulham,3,0
Norwich,Bolton,2,0
QPR,Wolves,1,2
Stoke,Sunderland,0,1
West Brom,Swansea,1,2
Wigan,Everton,1,1
Chelsea,Man United,3,3
Newcastle,Aston Villa,2,1
Liverpool,Tottenham,0,0
Blackburn,QPR,3,2
Bolton,Wigan,1,2
Everton,Chelsea,2,0
Fulham,Stoke,2,1
Man United,Liverpool,2,1
Sunderland,Arsenal,1,2
Swansea,Norwich,2,3
Tottenham,Newcastle,5,0
Aston Villa,Man City,0,1
Wolves,West Brom,1,5
Chelsea,Bolton,3,0
Man City,Blackburn,3,0
Newcastle,Wolves,2,2
QPR,Fulham,0,1
West Brom,Sunderland,4,0
Wigan,Aston Villa,0,0
Arsenal,Tottenham,5,2
Norwich,Man United,1,2
Stoke,Swansea,2,0
Blackburn,Aston Villa,1,1
Liverpool,Arsenal,1,2
Man City,Bolton,2,0
QPR,Everton,1,1
Stoke,Norwich,1,0
West Brom,Chelsea,1,0
Wigan,Swansea,0,2
Fulham,Wolves,5,0
Newcastle,Sunderland,1,1
Tottenham,Man United,1,3
Aston Villa,Fulham,1,0
Bolton,QPR,2,1
Chelsea,Stoke,1,0
Everton,Tottenham,1,0
Sunderland,Liverpool,1,0
Wolves,Blackburn,0,2
Man United,West Brom,2,0
Norwich,Wigan,1,1
Swansea,Man City,1,0
Arsenal,Newcastle,2,1
Liverpool,Everton,3,0
Fulham,Swansea,0,3
Wigan,West Brom,1,1
Newcastle,Norwich,1,0
Wolves,Man United,0,5
Blackburn,Sunderland,2,0
Everton,Arsenal,0,1
Man City,Chelsea,2,1
QPR,Liverpool,3,2
Tottenham,Stoke,1,1
Arsenal,Aston Villa,3,0
Bolton,Blackburn,2,1
Chelsea,Tottenham,0,0
Liverpool,Wigan,1,2
Norwich,Wolves,2,1
Stoke,Man City,1,1
Sunderland,QPR,3,1
Swansea,Everton,0,2
West Brom,Newcastle,1,3
Man United,Fulham,1,0
Aston Villa,Chelsea,2,4
Everton,West Brom,2,0
Fulham,Norwich,2,1
Man City,Sunderland,3,3
QPR,Arsenal,2,1
Wigan,Stoke,2,0
Wolves,Bolton,2,3
Newcastle,Liverpool,2,0
Tottenham,Swansea,3,1
Blackburn,Man United,0,2
Swansea,Newcastle,0,2
Bolton,Fulham,0,3
Chelsea,Wigan,2,1
Liverpool,Aston Villa,1,1
Norwich,Everton,2,2
Stoke,Wolves,2,1
Sunderland,Tottenham,0,0
West Brom,Blackburn,3,0
Arsenal,Man City,1,0
Man United,QPR,2,0
Aston Villa,Stoke,1,1
Everton,Sunderland,4,0
Fulham,Chelsea,1,1
Newcastle,Bolton,2,0
Tottenham,Norwich,1,2
Blackburn,Liverpool,2,3
Man City,West Brom,4,0
QPR,Swansea,3,0
Wigan,Man United,1,0
Wolves,Arsenal,0,3
Norwich,Man City,1,6
Sunderland,Wolves,0,0
Swansea,Blackburn,3,0
West Brom,QPR,1,0
Man United,Aston Villa,4,0
Arsenal,Wigan,1,2
Arsenal,Chelsea,0,0
Aston Villa,Sunderland,0,0
Blackburn,Norwich,2,0
Bolton,Swansea,1,1
Fulham,Wigan,2,1
Newcastle,Stoke,3,0
QPR,Tottenham,1,0
Liverpool,West Brom,0,1
Man United,Everton,4,4
Wolves,Man City,0,2
Aston Villa,Bolton,1,2
Everton,Fulham,4,0
Norwich,Liverpool,0,3
Stoke,Arsenal,1,1
Sunderland,Bolton,2,2
Swansea,Wolves,4,4
West Brom,Aston Villa,0,0
Wigan,Newcastle,4,0
Chelsea,QPR,6,1
Tottenham,Blackburn,2,0
Man City,Man United,1,0
Liverpool,Fulham,0,1
Stoke,Everton,1,1
Bolton,Tottenham,1,4
Chelsea,Newcastle,0,2
Arsenal,Norwich,3,3
Aston Villa,Tottenham,1,1
Bolton,West Brom,2,2
Fulham,Sunderland,2,1
Man United,Swansea,2,0
Newcastle,Man City,0,2
QPR,Stoke,1,0
Wolves,Everton,0,0
Blackburn,Wigan,0,1
Liverpool,Chelsea,4,1
Chelsea,Blackburn,2,1
Everton,Newcastle,3,1
Man City,QPR,3,2
Norwich,Aston Villa,2,0
Stoke,Bolton,2,2
Sunderland,Man United,0,1
Swansea,Liverpool,1,0
Tottenham,Fulham,2,0
West Brom,Arsenal,2,3
Wigan,Wolves,3,2
Arsenal,Sunderland,0,0
Fulham,Norwich,5,0
Newcastle,Tottenham,2,1
QPR,Swansea,0,5
Reading,Stoke,1,1
West Brom,Liverpool,3,0
West Ham,Aston Villa,1,0
Man City,Southampton,3,2
Wigan,Chelsea,0,2
Everton,Man United,1,0
Chelsea,Reading,4,2
