HomeTeam,AwayTeam,HomeGoals,AwayGoals
Watford,Aston Villa,3,2
West Brom,West Ham,0,3
Man United,Leicester,1,1
Southampton,Man City,4,2
Swansea,Liverpool,3,1
Chelsea,Tottenham,2,2
Aston Villa,Newcastle,0,0
Bournemouth,West Brom,1,1
Crystal Palace,Stoke,2,1
Leicester,Everton,3,1
Norwich,Man United,0,1
Sunderland,Chelsea,3,2
West Ham,Swansea,1,4
Liverpool,Watford,2,0
Man City,Arsenal,2,2
Tottenham,Southampton,1,2
West Ham,Man United,3,2
Liverpool,Chelsea,1,1
Norwich,Watford,4,2
Sunderland,Everton,3,0
Arsenal,Aston Villa,4,0
Chelsea,Leicester,1,1
Everton,Norwich,3,0
Newcastle,Tottenham,5,1
Southampton,Crystal Palace,4,1
Stoke,West Ham,2,1
Swansea,Man City,1,1
Watford,Sunderland,2,2
West Brom,Liverpool,1,1
Man United,Bournemouth,3,1
Burnley,Swansea,0,1
Crystal Palace,West Brom,0,1
Everton,Tottenham,1,1
Hull,Leicester,2,1
Man City,Sunderland,2,1
Middlesbrough,Stoke,1,1
Southampton,Watford,1,1
Arsenal,Liverpool,3,4
Bournemouth,Man United,1,3
Chelsea,West Ham,2,1
Man United,Southampton,2,0
Burnley,Liverpool,2,0
Leicester,Arsenal,0,0
Stoke,Man City,1,4
Swansea,Hull,0,2
Tottenham,Crystal Palace,1,0
Watford,Chelsea,1,2
West Brom,Everton,1,2
Sunderland,Middlesbrough,1,2
West Ham,Bournemouth,1,0
Chelsea,Burnley,3,0
Crystal Palace,Bournemouth,1,1
Everton,Stoke,1,0
Hull,Man United,0,1
Leicester,Swansea,2,1
Southampton,Sunderland,1,1
Tottenham,Liverpool,1,1
Watford,Arsenal,1,3
Man City,West Ham,3,1
West Brom,Middlesbrough,0,0
Arsenal,Southampton,2,1
Bournemouth,West Brom,1,0
Burnley,Hull,1,1
Liverpool,Leicester,4,1
Man United,Man City,1,2
Middlesbrough,Crystal Palace,1,2
Stoke,Tottenham,0,4
West Ham,Watford,2,4
Swansea,Chelsea,2,2
Sunderland,Everton,0,3
Chelsea,Liverpool,1,2
Everton,Middlesbrough,3,1
Hull,Arsenal,1,4
Leicester,Burnley,3,0
Man City,Bournemouth,4,0
West Brom,West Ham,4,2
Crystal Palace,Stoke,4,1
Southampton,Swansea,1,0
Tottenham,Sunderland,1,0
Watford,Man United,3,1
Arsenal,Chelsea,3,0
Bournemouth,Everton,1,0
Liverpool,Hull,5,1
Man United,Leicester,4,1
Middlesbrough,Tottenham,1,2
Stoke,West Brom,1,1
Sunderland,Crystal Palace,2,3
Swansea,Man City,1,3
West Ham,Southampton,0,3
Burnley,Watford,2,0
Everton,Crystal Palace,1,1
Hull,Chelsea,0,2
Sunderland,West Brom,1,1
Swansea,Liverpool,1,2
Watford,Bournemouth,2,2
West Ham,Middlesbrough,1,1
Burnley,Arsenal,0,1
Leicester,Southampton,0,0
Man United,Stoke,1,1
Tottenham,Man City,2,0
Arsenal,Swansea,3,2
Bournemouth,Hull,6,1
Chelsea,Leicester,3,0
Crystal Palace,West Ham,0,1
Man City,Everton,1,1
Stoke,Sunderland,2,0
West Brom,Tottenham,1,1
Middlesbrough,Watford,0,1
Southampton,Burnley,3,1
Liverpool,Man United,0,0
Arsenal,Middlesbrough,0,0
Bournemouth,Tottenham,0,0
Burnley,Everton,2,1
Hull,Stoke,0,2
Leicester,Crystal Palace,3,1
Liverpool,West Brom,2,1
Swansea,Watford,0,0
West Ham,Sunderland,1,0
Chelsea,Man United,4,0
Man City,Southampton,1,1
Crystal Palace,Liverpool,2,4
Man United,Burnley,0,0
Middlesbrough,Bournemouth,2,0
Sunderland,Arsenal,1,4
Tottenham,Leicester,1,1
Watford,Hull,1,0
West Brom,Man City,0,4
Everton,West Ham,2,0
Southampton,Chelsea,0,2
Stoke,Swansea,3,1
Bournemouth,Sunderland,1,2
Burnley,Crystal Palace,3,2
Chelsea,Everton,5,0
Man City,Middlesbrough,1,1
West Ham,Stoke,1,1
Arsenal,Tottenham,1,1
Hull,Southampton,2,1
Leicester,West Brom,1,2
Liverpool,Watford,6,1
Swansea,Man United,1,3
Crystal Palace,Man City,1,2
Everton,Swansea,1,1
Man United,Arsenal,1,1
Southampton,Liverpool,0,0
Stoke,Bournemouth,0,1
Sunderland,Hull,3,0
Tottenham,West Ham,3,2
Watford,Leicester,2,1
Middlesbrough,Chelsea,0,1
West Brom,Burnley,4,0
Burnley,Man City,1,2
Chelsea,Tottenham,2,1
Hull,West Brom,1,1
Leicester,Middlesbrough,2,2
Liverpool,Sunderland,2,0
Swansea,Crystal Palace,5,4
Arsenal,Bournemouth,3,1
Man United,West Ham,1,1
Southampton,Everton,1,0
Watford,Stoke,0,1
Crystal Palace,Southampton,3,0
Man City,Chelsea,1,3
Stoke,Burnley,2,0
Sunderland,Leicester,2,1
Tottenham,Swansea,5,0
West Brom,Watford,3,1
West Ham,Arsenal,1,5
Bournemouth,Liverpool,4,3
Everton,Man United,1,1
Middlesbrough,Hull,1,0
Arsenal,Stoke,3,1
Burnley,Bournemouth,3,2
Hull,Crystal Palace,3,3
Leicester,Man City,4,2
Swansea,Sunderland,3,0
Watford,Everton,3,2
Chelsea,West Brom,1,0
Liverpool,West Ham,2,2
Man United,Tottenham,1,0
Southampton,Middlesbrough,1,0
Bournemouth,Leicester,1,0
Everton,Arsenal,2,1
Crystal Palace,Man United,1,2
Man City,Watford,2,0
Middlesbrough,Liverpool,0,3
Stoke,Southampton,0,0
Sunderland,Chelsea,0,1
Tottenham,Hull,3,0
West Brom,Swansea,3,1
West Ham,Burnley,1,0
Crystal Palace,Chelsea,0,1
Middlesbrough,Swansea,3,0
Stoke,Leicester,2,2
Sunderland,Watford,1,0
West Brom,Man United,0,2
West Ham,Hull,1,0
Bournemouth,Southampton,1,3
Man City,Arsenal,2,1
Tottenham,Burnley,2,1
Everton,Liverpool,0,1
Arsenal,West Brom,1,0
Burnley,Middlesbrough,1,0
Chelsea,Bournemouth,3,0
Hull,Man City,0,3
Leicester,Everton,0,2
Man United,Sunderland,3,1
Swansea,West Ham,1,4
Watford,Crystal Palace,1,1
Liverpool,Stoke,4,1
Southampton,Tottenham,1,4
Hull,Everton,2,2
Burnley,Sunderland,4,1
Chelsea,Stoke,4,2
Leicester,West Ham,1,0
Liverpool,Man City,1,0
Man United,Middlesbrough,2,1
Southampton,West Brom,1,2
Swansea,Bournemouth,0,3
Arsenal,Crystal Palace,2,0
Watford,Tottenham,1,4
Everton,Southampton,3,0
Man City,Burnley,2,1
Middlesbrough,Leicester,0,0
Sunderland,Liverpool,2,2
West Brom,Hull,3,1
West Ham,Man United,0,2
Bournemouth,Arsenal,3,3
Crystal Palace,Swansea,1,2
Stoke,Watford,2,0
Tottenham,Chelsea,2,0
Burnley,Southampton,1,0
Hull,Bournemouth,3,1
Leicester,Chelsea,0,3
Sunderland,Stoke,1,3
Swansea,Arsenal,0,4
Tottenham,West Brom,4,0
Watford,Middlesbrough,0,0
West Ham,Crystal Palace,3,0
Everton,Man City,4,0
Man United,Liverpool,1,1
Bournemouth,Watford,2,2
Crystal Palace,Everton,0,1
Liverpool,Swansea,2,3
Man City,Tottenham,2,2
Middlesbrough,West Ham,1,3
Stoke,Man United,1,1
West Brom,Sunderland,2,0
Arsenal,Burnley,2,1
Chelsea,Hull,2,0
Southampton,Leicester,3,0
Arsenal,Watford,1,2
Bournemouth,Crystal Palace,0,2
Burnley,Leicester,1,0
Liverpool,Chelsea,1,1
Middlesbrough,West Brom,1,1
Sunderland,Tottenham,0,0
Swansea,Southampton,2,1
Man United,Hull,0,0
Stoke,Everton,1,1
West Ham,Man City,0,4
Chelsea,Arsenal,3,1
Crystal Palace,Sunderland,0,4
Everton,Bournemouth,6,3
Hull,Liverpool,2,0
Southampton,West Ham,1,3
Tottenham,Middlesbrough,1,0
Watford,Burnley,2,1
West Brom,Stoke,1,0
Leicester,Man United,0,3
Man City,Swansea,2,1
Arsenal,Hull,2,0
Liverpool,Tottenham,2,0
Man United,Watford,2,0
Middlesbrough,Everton,0,0
Stoke,Crystal Palace,1,0
Sunderland,Southampton,0,4
West Ham,West Brom,2,2
Burnley,Chelsea,1,1
Swansea,Leicester,2,0
Bournemouth,Man City,0,2
Chelsea,Swansea,3,1
Crystal Palace,Middlesbrough,1,0
Everton,Sunderland,2,0
Hull,Burnley,1,1
Watford,West Ham,1,1
West Brom,Bournemouth,2,1
Tottenham,Stoke,4,0
Leicester,Liverpool,3,1
Leicester,Hull,3,1
Liverpool,Arsenal,3,1
Man United,Bournemouth,1,1
Stoke,Middlesbrough,2,0
Swansea,Burnley,3,2
Watford,Southampton,3,4
West Brom,Crystal Palace,0,2
Sunderland,Man City,0,2
Tottenham,Everton,3,2
West Ham,Chelsea,1,2
Man City,Stoke,0,0
Bournemouth,West Ham,3,2
Everton,West Brom,3,0
Hull,Swansea,2,1
Liverpool,Burnley,2,1
Bournemouth,Swansea,2,0
Crystal Palace,Watford,1,0
Everton,Hull,4,0
Stoke,Chelsea,1,2
Sunderland,Burnley,0,0
West Brom,Arsenal,3,1
West Ham,Leicester,2,3
Man City,Liverpool,1,1
Middlesbrough,Man United,1,3
Tottenham,Southampton,2,1
Burnley,Tottenham,0,2
Chelsea,Crystal Palace,1,2
Hull,West Ham,2,1
Leicester,Stoke,2,0
Liverpool,Everton,3,1
Man United,West Brom,0,0
Southampton,Bournemouth,0,0
Watford,Sunderland,1,0
Arsenal,Man City,2,2
Swansea,Middlesbrough,0,0
Burnley,Stoke,1,0
Leicester,Sunderland,2,0
Man United,Everton,1,1
Watford,West Brom,2,0
Arsenal,West Ham,3,0
Chelsea,Man City,2,1
Hull,Middlesbrough,4,2
Liverpool,Bournemouth,2,2
Southampton,Crystal Palace,3,1
Swansea,Tottenham,1,3
Bournemouth,Chelsea,1,3
Man City,Hull,3,1
Middlesbrough,Burnley,0,0
Stoke,Liverpool,1,2
Tottenham,Watford,4,0
West Brom,Southampton,0,1
West Ham,Swansea,1,0
Everton,Leicester,4,2
Sunderland,Man United,0,3
Crystal Palace,Arsenal,3,0
Crystal Palace,Leicester,2,2
Everton,Burnley,3,1
Southampton,Man City,0,3
Stoke,Hull,3,1
Sunderland,West Ham,2,2
Tottenham,Bournemouth,4,0
Watford,Swansea,1,0
Man United,Chelsea,2,0
West Brom,Liverpool,0,1
Middlesbrough,Arsenal,1,2
Bournemouth,Middlesbrough,4,0
Hull,Watford,2,0
Swansea,Stoke,2,0
West Ham,Everton,0,0
Burnley,Man United,0,2
Liverpool,Crystal Palace,1,2
Chelsea,Southampton,4,2
Arsenal,Leicester,1,0
Crystal Palace,Tottenham,0,1
Middlesbrough,Sunderland,1,0
Man City,Man United,0,0
Crystal Palace,Burnley,0,2
Southampton,Hull,0,0
Stoke,West Ham,0,0
Sunderland,Bournemouth,0,1
West Brom,Leicester,0,1
Everton,Chelsea,0,3
Man United,Swansea,1,1
Middlesbrough,Man City,2,2
Tottenham,Arsenal,2,0
Watford,Liverpool,0,1
West Ham,Tottenham,1,0
Bournemouth,Stoke,2,2
Burnley,West Brom,2,2
Hull,Sunderland,0,2
Leicester,Watford,3,0
Man City,Crystal Palace,5,0
Swansea,Everton,1,0
Arsenal,Man United,2,0
Liverpool,Southampton,0,0
Chelsea,Middlesbrough,3,0
Southampton,Arsenal,0,2
Everton,Watford,1,0
West Brom,Chelsea,0,1
Bournemouth,Burnley,2,1
Man City,Leicester,2,1
Middlesbrough,Southampton,1,2
Stoke,Arsenal,1,4
Sunderland,Swansea,0,2
Crystal Palace,Hull,4,0
Tottenham,Man United,2,1
West Ham,Liverpool,0,4
Chelsea,Watford,4,3
Arsenal,Sunderland,2,0
Man City,West Brom,3,1
Southampton,Man United,0,0
Leicester,Tottenham,1,6
Arsenal,Everton,3,1
Burnley,West Ham,1,2
Chelsea,Sunderland,5,1
Hull,Tottenham,1,7
Leicester,Bournemouth,1,1
Liverpool,Middlesbrough,3,0
Man United,Crystal Palace,2,0
Southampton,Stoke,0,1
Swansea,West Brom,2,1
Watford,Man City,0,5
Arsenal,Leicester,4,3
Brighton,Man City,0,2
Chelsea,Burnley,2,3
Crystal Palace,Huddersfield,0,3
Everton,Stoke,1,0
Southampton,Swansea,0,0
Watford,Liverpool,3,3
West Brom,Bournemouth,1,0
Man United,West Ham,4,0
Newcastle,Tottenham,0,2
Bournemouth,Watford,0,2
Burnley,West Brom,0,1
Leicester,Brighton,2,0
Liverpool,Crystal Palace,1,0
Southampton,West Ham,3,2
Stoke,Arsenal,1,0
Swansea,Man United,0,4
Huddersfield,Newcastle,1,0
Tottenham,Chelsea,1,2
Man City,Everton,1,1
Bournemouth,Man City,1,2
Crystal Palace,Swansea,0,2
Huddersfield,Southampton,0,0
Man United,Leicester,2,0
Newcastle,West Ham,3,0
Watford,Brighton,0,0
Chelsea,Everton,2,0
Liverpool,Arsenal,4,0
Tottenham,Burnley,1,1
West Brom,Stoke,1,1
Arsenal,Bournemouth,3,0
Brighton,West Brom,3,1
Everton,Tottenham,0,3
Leicester,Chelsea,1,2
Man City,Liverpool,5,0
Southampton,Watford,0,2
Stoke,Man United,2,2
Burnley,Crystal Palace,1,0
Swansea,Newcastle,0,1
West Ham,Huddersfield,2,0
Bournemouth,Brighton,2,1
Crystal Palace,Southampton,0,1
Huddersfield,Leicester,1,1
Liverpool,Burnley,1,1
Newcastle,Stoke,2,1
Tottenham,Swansea,0,0
Watford,Man City,0,6
West Brom,West Ham,0,0
Chelsea,Arsenal,0,0
Man United,Everton,4,0
Burnley,Huddersfield,0,0
Everton,Bournemouth,2,1
Leicester,Liverpool,2,3
Man City,Crystal Palace,5,0
Southampton,Man United,0,1
Stoke,Chelsea,0,4
Swansea,Watford,1,2
West Ham,Tottenham,2,3
Brighton,Newcastle,1,0
Arsenal,West Brom,2,0
Bournemouth,Leicester,0,0
Chelsea,Man City,0,1
Huddersfield,Tottenham,0,4
Man United,Crystal Palace,4,0
Stoke,Southampton,2,1
West Brom,Watford,2,2
West Ham,Swansea,1,0
Arsenal,Brighton,2,0
Everton,Burnley,0,1
Newcastle,Liverpool,1,1
Burnley,West Ham,1,1
Crystal Palace,Chelsea,2,1
Liverpool,Man United,0,0
Man City,Stoke,7,2
Swansea,Huddersfield,2,0
Tottenham,Bournemouth,1,0
Watford,Arsenal,2,1
Brighton,Everton,1,1
Southampton,Newcastle,2,2
Leicester,West Brom,1,1
West Ham,Brighton,0,3
Chelsea,Watford,4,2
Huddersfield,Man United,2,1
Man City,Burnley,3,0
Newcastle,Crystal Palace,1,0
Southampton,West Brom,1,0
Stoke,Bournemouth,1,2
Swansea,Leicester,1,2
Everton,Arsenal,2,5
Tottenham,Liverpool,4,1
Arsenal,Swansea,2,1
Bournemouth,Chelsea,0,1
Crystal Palace,West Ham,2,2
Liverpool,Huddersfield,3,0
Man United,Tottenham,1,0
Watford,Stoke,0,1
West Brom,Man City,2,3
Brighton,Southampton,1,1
Leicester,Everton,2,0
Burnley,Newcastle,1,0
Huddersfield,West Brom,1,0
Newcastle,Bournemouth,0,1
Southampton,Burnley,0,1
Stoke,Leicester,2,2
Swansea,Brighton,0,1
West Ham,Liverpool,1,4
Chelsea,Man United,1,0
Everton,Watford,3,2
Man City,Arsenal,3,1
Tottenham,Crystal Palace,1,0
Arsenal,Tottenham,2,0
Bournemouth,Huddersfield,4,0
Burnley,Swansea,2,0
Crystal Palace,Everton,2,2
Leicester,Man City,0,2
Liverpool,Southampton,3,0
Man United,Newcastle,4,1
West Brom,Chelsea,0,4
Watford,West Ham,2,0
Brighton,Stoke,2,2
West Ham,Leicester,1,1
Crystal Palace,Stoke,2,1
Liverpool,Chelsea,1,1
Man United,Brighton,1,0
Newcastle,Watford,0,3
Swansea,Bournemouth,0,0
Tottenham,West Brom,1,1
Burnley,Arsenal,0,1
Huddersfield,Man City,1,2
Southampton,Everton,4,1
Brighton,Crystal Palace,0,0
Leicester,Tottenham,2,1
Watford,Man United,2,4
West Brom,Newcastle,2,2
Arsenal,Huddersfield,5,0
Bournemouth,Burnley,1,2
Chelsea,Swansea,1,0
Everton,West Ham,4,0
Man City,Southampton,2,1
Stoke,Liverpool,0,3
Arsenal,Man United,1,3
Brighton,Liverpool,1,5
Chelsea,Newcastle,3,1
Everton,Huddersfield,2,0
Leicester,Burnley,1,0
Stoke,Swansea,2,1
Watford,Tottenham,1,1
West Brom,Crystal Palace,0,0
Bournemouth,Southampton,1,1
Man City,West Ham,2,1
Burnley,Watford,1,0
Crystal Palace,Bournemouth,2,2
Huddersfield,Brighton,2,0
Newcastle,Leicester,2,3
Swansea,West Brom,1,0
Tottenham,Stoke,5,1
West Ham,Chelsea,1,0
Liverpool,Everton,1,1
Man United,Man City,1,2
Southampton,Arsenal,1,1
Burnley,Stoke,1,0
Crystal Palace,Watford,2,1
Huddersfield,Chelsea,1,3
Liverpool,West Brom,0,0
Man United,Bournemouth,1,0
Newcastle,Everton,0,1
Southampton,Leicester,1,4
Swansea,Man City,0,4
Tottenham,Brighton,2,0
West Ham,Arsenal,0,0
Arsenal,Newcastle,1,0
Brighton,Burnley,0,0
Chelsea,Southampton,1,0
Leicester,Crystal Palace,0,3
Man City,Tottenham,4,1
Stoke,West Ham,0,3
Watford,Huddersfield,1,4
Bournemouth,Liverpool,0,4
West Brom,Man United,1,2
Everton,Swansea,3,1
Arsenal,Liverpool,3,3
Brighton,Watford,1,0
Burnley,Tottenham,0,3
Everton,Chelsea,0,0
Leicester,Man United,2,2
Man City,Bournemouth,4,0
Southampton,Huddersfield,1,1
Stoke,West Brom,3,1
Swansea,Crystal Palace,1,1
West Ham,Newcastle,2,3
Bournemouth,West Ham,3,3
Chelsea,Brighton,2,0
Huddersfield,Stoke,1,1
Liverpool,Swansea,5,0
Man United,Burnley,2,2
Tottenham,Southampton,5,2
Watford,Leicester,2,1
West Brom,Everton,0,0
Newcastle,Man City,0,1
Crystal Palace,Arsenal,2,3
Bournemouth,Everton,2,1
Chelsea,Stoke,5,0
Huddersfield,Burnley,0,0
Liverpool,Leicester,2,1
Man United,Southampton,0,0
Newcastle,Brighton,0,0
Watford,Swansea,1,2
Crystal Palace,Man City,0,0
West Brom,Arsenal,1,1
Brighton,Bournemouth,2,2
Burnley,Liverpool,1,2
Everton,Man United,0,2
Leicester,Huddersfield,3,0
Stoke,Newcastle,0,1
Man City,Watford,3,1
Southampton,Crystal Palace,1,2
Swansea,Tottenham,0,2
West Ham,West Brom,2,1
Arsenal,Chelsea,2,2
Tottenham,West Ham,1,1
Chelsea,Leicester,0,0
Crystal Palace,Burnley,1,0
Huddersfield,West Ham,1,4
Newcastle,Swansea,1,1
Tottenham,Everton,4,0
Watford,Southampton,2,2
West Brom,Brighton,2,0
Bournemouth,Arsenal,2,1
Liverpool,Man City,4,3
Man United,Stoke,3,0
Arsenal,Crystal Palace,4,1
Brighton,Chelsea,0,4
Burnley,Man United,0,1
Everton,West Brom,1,1
Leicester,Watford,2,0
Man City,Newcastle,3,1
Stoke,Huddersfield,2,0
West Ham,Bournemouth,1,1
Southampton,Tottenham,1,1
Swansea,Liverpool,1,0
Huddersfield,Liverpool,0,3
Swansea,Arsenal,3,1
West Ham,Crystal Palace,1,1
Chelsea,Bournemouth,0,3
Everton,Leicester,2,1
Man City,West Brom,3,0
Newcastle,Burnley,1,1
Southampton,Brighton,1,1
Stoke,Watford,0,0
Tottenham,Man United,2,0
Arsenal,Everton,5,1
Bournemouth,Stoke,2,1
Brighton,West Ham,3,1
Burnley,Man City,1,1
Leicester,Swansea,1,1
Man United,Huddersfield,2,0
West Brom,Southampton,2,3
Crystal Palace,Newcastle,1,1
Liverpool,Tottenham,2,2
Watford,Chelsea,4,1
Everton,Crystal Palace,3,1
Man City,Leicester,5,1
Stoke,Brighton,1,1
Swansea,Burnley,1,0
Tottenham,Arsenal,1,0
West Ham,Watford,2,0
Huddersfield,Bournemouth,4,1
Newcastle,Man United,1,0
Southampton,Liverpool,0,2
Chelsea,West Brom,3,0
Bournemouth,Newcastle,2,2
Brighton,Swansea,4,1
Burnley,Southampton,1,1
Leicester,Stoke,1,1
Liverpool,West Ham,4,1
Watford,Everton,1,0
West Brom,Huddersfield,1,2
Crystal Palace,Tottenham,0,1
Man United,Chelsea,2,1
Arsenal,Man City,0,3
Burnley,Everton,2,1
Leicester,Bournemouth,1,1
Liverpool,Newcastle,2,0
Southampton,Stoke,0,0
Swansea,West Ham,4,1
Tottenham,Huddersfield,2,0
Watford,West Brom,1,0
Brighton,Arsenal,2,1
Man City,Chelsea,1,0
Crystal Palace,Man United,2,3
Chelsea,Crystal Palace,2,1
Everton,Brighton,2,0
Huddersfield,Swansea,0,0
Man United,Liverpool,2,1
Newcastle,Southampton,3,0
West Brom,Leicester,1,4
West Ham,Burnley,0,3
Arsenal,Watford,3,0
Bournemouth,Tottenham,1,4
Stoke,Man City,0,2
Bournemouth,West Brom,2,1
Huddersfield,Crystal Palace,0,2
Liverpool,Watford,5,0
Stoke,Everton,1,2
